term,coef,se,t,p,ci_low,ci_high,model,service
Intercept,4.008558732899536,6.729547960087252,0.5956653785178704,0.5513987913020757,-9.181112901106466,17.198230366905538,H2_Workload_stops,svc12
C(driver_id)[T.D-02],-0.09021473449478812,0.45114212704504736,-0.19996965276927023,0.8415043153195355,-0.9744370554118744,0.7940075864222982,H2_Workload_stops,svc12
C(driver_id)[T.D-03],0.18475724016633543,0.4341652227816598,0.42554592231642013,0.6704387524326407,-0.6661909598255268,1.0357054401581975,H2_Workload_stops,svc12
C(driver_id)[T.D-04],-0.10458429513128031,0.466192237143213,-0.22433727290733993,0.8224948756244013,-1.018304289804134,0.8091356995415733,H2_Workload_stops,svc12
C(weekday)[T.1],0.030054996758833108,0.4705083906699359,0.06387770623184666,0.9490676038679253,-0.8921245033781429,0.952234496895809,H2_Workload_stops,svc12
C(weekday)[T.2],-0.16834266562607797,0.4892907428381541,-0.3440544667769481,0.7308053250179112,-1.1273348995577095,0.7906495683055534,H2_Workload_stops,svc12
C(weekday)[T.3],0.18007674333605095,0.40588797588390224,0.4436611923373631,0.6572875570155507,-0.6154490711542595,0.9756025578263614,H2_Workload_stops,svc12
C(weekday)[T.4],-0.16252869278127252,0.42501983988625885,-0.38240260225209116,0.7021627604700413,-0.9955522716733203,0.6704948861107751,H2_Workload_stops,svc12
C(weekday)[T.5],-0.0850289812459169,0.5615190746114388,-0.15142670140770453,0.8796391276423225,-1.1855861441165962,1.0155281816247625,H2_Workload_stops,svc12
C(weekday)[T.6],-0.24894327983048017,0.5043940442706571,-0.4935492055431518,0.6216245810752702,-1.2375374406174697,0.7396508809565094,H2_Workload_stops,svc12
stops,0.2148537941725365,0.12758547679181473,1.6839988341550838,0.09218189404874716,-0.03520914528979127,0.4649167336348643,H2_Workload_stops,svc12
distance_km,0.01820972048929976,0.027694313446812686,0.6575256152954209,0.510843005982448,-0.03607013644301643,0.07248957742161595,H2_Workload_stops,svc12
low_speed_share,0.9325864691233817,2.3078185157610536,0.40409870306281037,0.6861401386476502,-3.590654704622967,5.45582764286973,H2_Workload_stops,svc12
