term,coef,se,t,p,ci_low,ci_high,model,service
Intercept,173.24999999999997,1.721012926181745e-13,1006674600546865.2,0.0,173.24999999999963,173.2500000000003,H1,svc18
C(driver_id)[T.D-02],94.75000000000011,4.184698399257004e-14,2264201406171184.0,0.0,94.75000000000003,94.7500000000002,H1,svc18
C(driver_id)[T.D-03],94.74999999999983,6.296382018280381e-14,1504832453382128.5,0.0,94.7499999999997,94.74999999999996,H1,svc18
C(driver_id)[T.D-04],121.54999999999978,8.355859188731e-14,1454667883392845.0,0.0,121.54999999999961,121.54999999999995,H1,svc18
C(weekday)[T.1],-5.969010460769495e-14,8.2892562793516e-14,-0.7200899887289287,0.47146959106621966,-2.221565422692112e-13,1.027763330538213e-13,H1,svc18
C(weekday)[T.2],-4.760954578699981e-14,9.058247706242035e-14,-0.5255933303103656,0.5991707918235989,-2.2514793845976925e-13,1.2992884688576963e-13,H1,svc18
C(weekday)[T.3],2.7926361485913812e-14,5.620602885819816e-14,0.4968570463565226,0.6192898635968175,-8.223543079017352e-14,1.3808815376200113e-13,H1,svc18
C(weekday)[T.4],9.833846825303347e-15,6.275831277400417e-14,0.1566939324948955,0.8754860691776271,-1.1317018594224485e-13,1.3283787959285154e-13,H1,svc18
C(weekday)[T.5],6.311831800253208e-14,7.225378004874116e-14,0.8735642337321804,0.3823556111395531,-7.84964886398793e-14,2.0473312464494346e-13,H1,svc18
C(weekday)[T.6],5.335358826863153e-14,6.68985870014313e-14,0.7975293748355257,0.42514364974039465,-7.776523287079324e-14,1.844724094080563e-13,H1,svc18
low_speed_share,1.2364615465009293e-13,2.1939902619478507e-13,0.563567472447751,0.5730485289726959,-3.063680349348457e-13,5.536603442350316e-13,H1,svc18
stops_per_km,-3.9648869936032303e-13,4.525189890492475e-13,-0.8761813514021912,0.38093145285021235,-1.2834096202173232e-12,4.904322214966772e-13,H1,svc18
Intercept,1.6435729253809441,7.067431528280814,0.23255590362695047,0.8161062722895855,-12.208338333252323,15.495484184014211,H2,svc18
C(driver_id)[T.D-02],0.04385976098375899,0.4390275182079825,0.09990207712442549,0.9204220672962836,-0.8166183629258895,0.9043378848934075,H2,svc18
C(driver_id)[T.D-03],0.2319350672269883,0.4165667184086417,0.5567777188562283,0.5776793089326753,-0.5845206980119877,1.0483908324659643,H2,svc18
C(driver_id)[T.D-04],0.13271968182278115,0.5173177640496421,0.2565534977647613,0.7975234770098071,-0.8812045042773069,1.1466438679228692,H2,svc18
C(weekday)[T.1],-0.06323138186643196,0.46061768738067765,-0.1372751928524498,0.890813278022492,-0.9660254597746899,0.839562696041826,H2,svc18
C(weekday)[T.2],-0.3492692828770195,0.5213579113383902,-0.6699222842526781,0.5029073332702338,-1.371112012155291,0.6725734464012519,H2,svc18
C(weekday)[T.3],0.10347193182160971,0.379675187585104,0.27252750562852235,0.7852164449195795,-0.6406777616686832,0.8476216253119027,H2,svc18
C(weekday)[T.4],-0.1596981848878098,0.40050959759765525,-0.3987374730735909,0.6900866533136472,-0.9446825716418439,0.6252862018662242,H2,svc18
C(weekday)[T.5],-0.13870001762413897,0.5019887470977306,-0.27630104942797834,0.7823168499526769,-1.1225798825800766,0.8451798473317985,H2,svc18
C(weekday)[T.6],-0.3203429011466187,0.47803721120373255,-0.6701212659574595,0.5027804894025767,-1.2572786183759017,0.6165928160826644,H2,svc18
stops,0.23552996323689251,0.1268971031026702,1.8560704498220846,0.06344351706371731,-0.013183788586806994,0.48424371506059205,H2,svc18
distance_km,0.02765273108625183,0.029040397665065852,0.9522159925350018,0.34098745196944025,-0.029265402433998323,0.08457086460650198,H2,svc18
low_speed_share,1.692003395152586,1.6232162687642349,1.0423770557947396,0.29723689976586,-1.489442030744803,4.8734488210499745,H2,svc18
Intercept,1.6435729253809086,7.0674315282807525,0.23255590362694745,0.8161062722895879,-12.20833833325224,15.495484184014057,H4,svc18
C(driver_id)[T.D-02],0.04385976098375721,0.43902751820797936,0.09990207712442217,0.9204220672962863,-0.8166183629258852,0.9043378848933996,H4,svc18
C(driver_id)[T.D-03],0.23193506722698998,0.4165667184086379,0.5567777188562373,0.5776793089326691,-0.5845206980119787,1.0483908324659588,H4,svc18
C(driver_id)[T.D-04],0.13271968182277938,0.5173177640496368,0.25655349776476044,0.7975234770098077,-0.8812045042772982,1.146643867922857,H4,svc18
C(weekday)[T.1],-0.06323138186642568,0.46061768738067377,-0.13727519285243733,0.8908132780225019,-0.966025459774676,0.8395626960418245,H4,svc18
C(weekday)[T.2],-0.3492692828770157,0.5213579113383852,-0.6699222842526771,0.5029073332702345,-1.3711120121552773,0.6725734464012461,H4,svc18
C(weekday)[T.3],0.10347193182161052,0.37967518758510116,0.2725275056285265,0.7852164449195763,-0.6406777616686768,0.8476216253118979,H4,svc18
C(weekday)[T.4],-0.15969818488780693,0.400509597597652,-0.39873747307358703,0.69008665331365,-0.9446825716418346,0.6252862018662206,H4,svc18
C(weekday)[T.5],-0.13870001762413806,0.5019887470977251,-0.2763010494279795,0.782316849952676,-1.1225798825800648,0.8451798473317887,H4,svc18
C(weekday)[T.6],-0.3203429011466175,0.478037211203729,-0.670121265957462,0.5027804894025749,-1.2572786183758935,0.6165928160826586,H4,svc18
low_speed_share,1.6920033951525948,1.623216268764223,1.0423770557947527,0.2972368997658539,-1.489442030744771,4.87344882104996,H4,svc18
distance_km,0.02765273108625193,0.02904039766506559,0.9522159925350139,0.34098745196943425,-0.029265402433997702,0.08457086460650157,H4,svc18
stops,0.2355299632368935,0.1268971031026692,1.8560704498221072,0.06344351706371411,-0.013183788586804052,0.48424371506059105,H4,svc18
